教程说明书,#genre#
CCTV6,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228516/index.m3u8
CCTV6,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV6,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8?p=GITV&area=GD_CUCC&$4M FHD
CCTV7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV7,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8?p=GITV&area=GD_CUCC&$4M%20FHD
CCTV8,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV8,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8?p=GITV&area=GD_CUCC&$4M FHD
CCTV8,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV10,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV10,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-10-HQ/G_CCTV-10-HQ.m3u8?p=GITV&area=GD_CUCC&$4M FHD
CCTV11,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV11,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-11-HQ/G_CCTV-11-HQ.m3u8?p=GITV&area=GD_CUCC&$4M FHD
CCTV11,http://58.19.38.233:8888/newlive/live/hls/13/live.m3u8
CCTV12,https://iptv.luas.edu.cn/liverespath/fb84bde1de15cdb0308a7910cebc0497594ae94e/e2d8885f42-0-0-6e1f55986652ba786606a116c5cc0775/index.m3u8
CCTV12,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV14,https://iptv.luas.edu.cn/liverespath/0e0973e58d4835f4b872548164462930003f77b4/0ef01acfdb-0-0-3c10e95bcde07ba14f0f93a8d831b684/index.m3u8
CCTV14,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV15,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV15,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-15-HQ/G_CCTV-15-HQ.m3u8?p=GITV&area=GD_CUCC&$4M FHD
CCTV-16,http://zteres.sn.chinamobile.com:6060/000000001000/5000000008000023254/1.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3
CCTV16,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV16,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-16-HQ/G_CCTV-16-HQ.m3u8?p=GITV&area=GD_CUCC&$4M FHD
CCTV16,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?


地方台,#genre#
北京卫视,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_BEIJING-HQ/G_BEIJING-HQ.m3u8?p=GITV&area=GD_CUCC&$4M FHD
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
东方卫视,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_DONGFANG-HQ/G_DONGFANG-HQ.m3u8?p=GITV&area=GD_CUCC&$4M%20FHD
东方卫视,https://iptv.luas.edu.cn/liverespath/4015e6015b3b818a4cbc2247960b8536a3cd0153/0bc51b40df-0-0-23a64a0dc546104d1ba498a41ff49540/index.m3u8
浙江卫视,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8?p=GITV&area=GD_CUCC&$4M%20FHD
江苏卫视,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_JIANGSU-HQ/G_JIANGSU-HQ.m3u8?p=GITV&area=GD_CUCC&$4M%20FHD
江苏卫视,https://iptv.luas.edu.cn/liverespath/0be64515076e489456de2f33e7b58ff1b392d3b3/8c0352e42d-0-0-2529f61c8f420136013f1ab8a93169c3/index.m3u8
湖南卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001339/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
安徽卫视,https://iptv.luas.edu.cn/liverespath/6e91e17de838dbf7c77f9ed8e41726bd4a1516f5/494a63d492-0-0-94541fa104bd30ce82410455ab950402/index.m3u8
深圳卫视,http://gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8?p=GITV&area=GD_CUCC&$4M%20FHD
深圳卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001342/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
深圳卫视,https://iptv.luas.edu.cn/liverespath/536ebe8b7165b25c8670e42eb8b7b4b6d178f158/a98f61eca9-0-0-c5ea37622772aa5d5e0d8838c68c61d9/index.m3u8


港澳台,#genre#
凤凰资讯,http://198.16.100.90:8278/phoenixinfo_hd/playlist.m3u8?tid=m7f4a830029be&ct=18336&tsum=74f57bddc0725f74838380086dce3e44
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰中文,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰中文,http://198.16.100.90:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068
翡翠台,http://198.16.100.90:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e
翡翠台,http://r.jdshipin.com/qClQf
TVBS,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVBS,http://50.7.238.114:8278/tvbs/playlist.m3u8?tid=MEFE3093330530933305&ct=19249&tsum=ce6b5e9293b3618104ad53084745a223
TVBS,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
TVB新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVB新闻,http://38.64.72.148/hls/modn/list/4006/playlist.m3u8
民视,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视,http://198.16.100.90:8278/ftvhd_taiwan/playlist.m3u8?tid=m15b424641a89&ct=18335&tsum=ba82cdbfb8253c45a13df5354e6d0dbc
中天新闻,http://211.72.65.236:8541/.m3u8
中天新闻,http://198.16.100.90:8278/ctinews/playlist.m3u8?tid=MC3C3915550439155504&ct=19193&tsum=a8168b7967dda9bfebdd5b1403dc19b0
中天娱乐,http://50.7.238.114:8278/ctient/playlist.m3u8?tid=MDED1780059017800590&ct=19226&tsum=4d05ea700aa8fd436b51ce703680e674
中天娱乐,http://50.7.238.114:8278/ctient/playlist.m3u8?tid=MA8A3069789530697895&ct=19193&tsum=20c49fe9e15ad366c6e32b141f03bf8a
东森综合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=MC4C1214674912146749&ct=19254&tsum=9b96a50ba99dca1a02a27b05a6fb4b0d
东森综合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
东森超视,http://198.16.100.90:8278/ettvsuper/playlist.m3u8?tid=MA4A3005409230054092&ct=19225&tsum=c5d89f66fa1a8bcd26f482d4a370def5
东森戏剧,http://198.16.100.90:8278/ettvdrama/playlist.m3u8?tid=ME1E3883142638831426&ct=19225&tsum=12c87a5fab65a0ba071cebce86313f45
东森戏剧,ttp://50.7.238.114:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7


国外台,#genre#
Channel News Asia,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
半岛电视台,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
Fox News Now,https://fox-foxnewsnow-vizio.amagi.tv/playlist.m3u8
Sky News,http://198.16.100.90:8278/skynews_antik/playlist.m3u8?tid=MA7A8995522289955222&ct=19225&tsum=017cd1040a70d579955560a0c550c0f2
CBS News,https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_11.m3u8
KBS WORLD,https://kbsworld-ott.akamaized.net:443/hls/live/2002341/kbsworld/01.m3u8
ITV1,http://198.16.100.90:8278/itv1_antik/playlist.m3u8?tid=MA7A3116345831163458&ct=19254&tsum=fe64dc99ba95f220bea2a2a29319b065
NHKWorld,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
DW English,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/stream01/streamPlaylist.m3u8
Reuters TV,https://reuters-reutersnow-1-us.plex.wurl.tv/c0c0829237382f291cc46a0368586aa7.m3u8
DiscoveryHD,http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8?tid=MF6F9560989795609897&ct=19254&tsum=5c76a2419ab5b56e7202248db95be60e
ESPN,http://41.205.93.154/ESPN/index.m3u8
國家地理,http://198.16.100.90:8278/natgeohd_twn/playlist.m3u8?tid=MD3D4446495344464953&ct=19249&tsum=f8c0bfc8c564a4a28247dad400acddba
国家地理野生,https://sc.id-tv.kz/NatGeoWildHD_34_35.m3u8
NASA TV Public,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8


电影台,#genre#
星卫电影,http://50.7.238.114:8278/xingwei_movie/playlist.m3u8?ct=17874&tid=ma80888ed462f18082236&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
星卫电影,http://50.7.238.114:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
星卫电影,http://198.16.100.90:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
星卫电影,http://198.16.100.90:8278/xingwei_movie/playlist.m3u8?tid=MB7B3700339537003395&ct=19249&tsum=54d5231b311c4cd2b6716eafe88bb0dd
美亚电影台,http://198.16.100.90:8278/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b
美亚电影台,http://50.7.238.114:8278/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b
美亚电影台,http://198.16.100.90:8278/meiyamovie_twn/playlist.m3u8?tid=ME9E6301165163011651&ct=19249&tsum=c2c246af848b424b68e94e4b35cfa337
龙华电影,http://198.16.100.90:8278/xingwei_movie/playlist.m3u8?tid=MB7B3700339537003395&ct=19249&tsum=54d5231b311c4cd2b6716eafe88bb0dd
龙华电影,https://ktpremium.com:443/M919HR/5577/918602?c=台湾
东森电影,http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
东森电影http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
東森洋片,http://198.16.100.90:8278/ettvwestern/playlist.m3u8?tid=MC2C7134276471342764&ct=19225&tsum=4889d0c08d077336bd5066b912891aee
東森洋片,http://198.16.100.90:8278/ettvwestern/playlist.m3u8?tid=MA6A9686180296861802&ct=19193&tsum=79b2173b4455c70b50330eed478049a4
HBO原创,http://198.16.100.90:8278/hbosignature_twn/playlist.m3u8?tid=m48ee99a5dacb15948906&ct=17874&tsum=3d127801d49fa098b4118400117b4fbb
HBO HD,http://198.16.100.90:8278/hbohd_twn/playlist.m3u8?tid=ME7E8473082984730829&ct=18392&tsum=acad12b7c208bda39b68dec98349e138
HBO Comedy,https://comedy-redbox.amagi.tv/hls/amagi_hls_data_redboxAAA-comedy/CDN/playlist.m3u8
CINEMAX,http://50.7.238.114:8278/cinemax_twn/playlist.m3u8?tid=MF6F1142326311423263&ct=19254&tsum=716939f2b6d75d0bb83a4c780e00dbd3
好莱坞电影,http://50.7.238.114:8278/hollywoodmovies_twn/playlist.m3u8?tid=MA8A4005638840056388&ct=18392&tsum=a1f1517d4ea64fd01267905f21d83859


虎牙直播间,#genre#
虎牙-周星星,http://mmitv.top/pltv/huya.php?id=11342412
虎牙-林正英,http://43.138.170.29:35455/huya/11342421
虎牙-沈腾,http://43.138.170.29:35455/huya/11601968
虎牙-猫和老鼠,http://43.138.170.29:35455/huya/11352879
虎牙-成龙,http://43.138.170.29:35455/huya/11342386
虎牙-李连杰,http://43.138.170.29:35455/huya/11342390
虎牙-刘德华,http://43.138.170.29:35455/huya/11342424
虎牙-王晶,http://43.138.170.29:35455/huya/11602058
虎牙-中华小当家,http://43.138.170.29:35455/huya/11342413
虎牙-杰森·斯坦森,http://43.138.170.29:35455/huya/21059588
虎牙-喜剧专场,http://43.138.170.29:35455/huya/11602044
虎牙-甄子丹,http://43.138.170.29:35455/huya/11352935
虎牙-巨石强森,http://43.138.170.29:35455/huya/21059581
虎牙-洪金宝,http://43.138.170.29:35455/huya/11279251
虎牙-詹姆斯邦德,http://43.138.170.29:35455/huya/21059585
虎牙-徐克,http://43.138.170.29:35455/huya/11352909
虎牙-周润发,http://43.138.170.29:35455/huya/11342387
虎牙-徐峥,http://43.138.170.29:35455/huya/11602043
虎牙-许氏三杰,http://43.138.170.29:35455/huya/11602033
虎牙-黄渤,http://43.138.170.29:35455/huya/11352876
虎牙-张卫健,http://43.138.170.29:35455/huya/11342423
虎牙-冯小刚,http://43.138.170.29:35455/huya/11352906
虎牙-百鸟朝凤,http://43.138.170.29:35455/huya/15894162
虎牙-陈翔六点半,http://43.138.170.29:35455/huya/11274154
虎牙-电锯惊魂系列,http://43.138.170.29:35455/huya/11352903
虎牙-港台电影,http://43.138.170.29:35455/huya/880261
虎牙-高分电影,http://43.138.170.29:35455/huya/16615910
虎牙-搞笑僵尸片,http://43.138.170.29:35455/huya/11352963
虎牙-国产青春,http://43.138.170.29:35455/huya/11602075
虎牙-好莱坞,http://43.138.170.29:35455/huya/21059587
虎牙-黑帮斗争,http://43.138.170.29:35455/huya/11342419
虎牙-红海行动,http://43.138.170.29:35455/huya/11601986
虎牙-极限挑战],http://43.138.170.29:35455/huya/11352914
虎牙-金庸的武侠世界,http://43.138.170.29:35455/huya/11342435
虎牙-金庸电影,http://43.138.170.29:35455/huya/11352897
虎牙-经典高智商,http://43.138.170.29:35455/huya/11352962
虎牙-经典好片,http://43.138.170.29:35455/huya/11342427
虎牙-经典喜剧片,http://43.138.170.29:35455/huya/11352894
虎牙-精彩不断,http://43.138.170.29:35455/huya/24396428
虎牙-精忠岳飞南征北战,http://43.138.170.29:35455/huya/11336578
虎牙-警匪,http://43.138.170.29:35455/huya/11352886
虎牙-看救援电影,http://43.138.170.29:35455/huya/21059586
虎牙-科幻电影,http://43.138.170.29:35455/huya/11602034
虎牙-路飞,http://43.138.170.29:35455/huya/16913382
虎牙-麻雀,http://43.138.170.29:35455/huya/11352881
虎牙-命案十三宗,http://43.138.170.29:35455/huya/11601981
虎牙-魔法世界,http://43.138.170.29:35455/huya/21059580
虎牙-欧美电影,http://43.138.170.29:35455/huya/11352880
虎牙-欧美电影,http://43.138.170.29:35455/huya/21059581
虎牙-欧美娱乐,http://43.138.170.29:35455/huya/21059574
虎牙-倩女幽魂,http://43.138.170.29:35455/huya/11601970
女神影院,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
港台电影,http://43.138.170.29:35455/huya/880261
黑帮斗争,http://43.138.170.29:35455/huya/11342419
未知,http://43.138.170.29:35455/huya/11601986
极限挑战,http://43.138.170.29:35455/huya/11352914
金庸电影,http://43.138.170.29:35455/huya/11352897
经典电影,http://43.138.170.29:35455/huya/11352962
经典好片,http://43.138.170.29:35455/huya/11342427
经典喜剧片,http://43.138.170.29:35455/huya/11352894
警匪,http://43.138.170.29:35455/huya/11352886
救援电影,http://43.138.170.29:35455/huya/21059586
科幻电影,http://43.138.170.29:35455/huya/11602034
电影22,http://43.138.170.29:35455/huya/11601981
欧美电影,http://43.138.170.29:35455/huya/11352880
欧美电影,http://43.138.170.29:35455/huya/21059581
电影23,http://43.138.170.29:35455/huya/11601970
电影33,http://43.138.170.29:35455/huya/11602077
史诗级战争电影,http://43.138.170.29:35455/huya/21059556
电影24,http://43.138.170.29:35455/huya/21059579
电影55,http://43.138.170.29:35455/huya/23652317
喜剧专场,http://43.138.170.29:35455/huya/11602044
电影26,http://43.138.170.29:35455/huya/21059577
电影77,http://43.138.170.29:35455/huya/11601971
电影78,http://43.138.170.29:35455/huya/11342414
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
虎牙-庆余年,http://43.138.170.29:35455/huya/11352960
虎牙-三国演义,http://43.138.170.29:35455/huya/11602077
虎牙-神话,http://43.138.170.29:35455/huya/11352913
虎牙-生活大爆炸,http://43.138.170.29:35455/huya/11342417
虎牙-史诗级战争电影,http://43.138.170.29:35455/huya/21059556
虎牙-孙悟空,http://43.138.170.29:35455/huya/11342395
虎牙-太空混战,http://43.138.170.29:35455/huya/21059579
虎牙-天雷滚滚,http://43.138.170.29:35455/huya/11352945
虎牙-天龙八部,http://43.138.170.29:35455/huya/11602041
虎牙-歪果仁动作,http://43.138.170.29:35455/huya/21059552
虎牙-文成公主,http://43.138.170.29:35455/huya/11352974
虎牙-我是大哥大,http://43.138.170.29:35455/huya/23652317
虎牙-喜剧合家欢,http://43.138.170.29:35455/huya/11352877
虎牙-喜剧专场,http://43.138.170.29:35455/huya/11602044
虎牙-小鲤鱼,http://43.138.170.29:35455/huya/11601961
虎牙-林正英,http://mmitv.top/pltv/huya.php?id=11342421
虎牙-沈腾,http://mmitv.top/pltv/huya.php?id=11601968
虎牙-猫和老鼠,http://mmitv.top/pltv/huya.php?id=11352879
虎牙-成龙,http://mmitv.top/pltv/huya.php?id=11342386
虎牙-李连杰,http://mmitv.top/pltv/huya.php?id=11342390
虎牙-刘德华,http://mmitv.top/pltv/huya.php?id=11342424
虎牙-王晶,http://mmitv.top/pltv/huya.php?id=11602058
虎牙-中华小当家,http://mmitv.top/pltv/huya.php?id=11342413
虎牙-杰森·斯坦森,http://mmitv.top/pltv/huya.php?id=21059588
虎牙-喜剧专场,http://mmitv.top/pltv/huya.php?id=11602044
虎牙-甄子丹,http://mmitv.top/pltv/huya.php?id=11352935
虎牙-巨石强森,http://mmitv.top/pltv/huya.php?id=21059581
虎牙-洪金宝,http://mmitv.top/pltv/huya.php?id=11279251
虎牙-詹姆斯邦德,http://mmitv.top/pltv/huya.php?id=21059585
虎牙-徐克,http://mmitv.top/pltv/huya.php?id=11352909
虎牙-周润发,http://mmitv.top/pltv/huya.php?id=11342387
虎牙-徐峥,http://mmitv.top/pltv/huya.php?id=11602043
虎牙-许氏三杰,http://mmitv.top/pltv/huya.php?id=11602033
虎牙-黄渤,http://mmitv.top/pltv/huya.php?id=11352876
虎牙-张卫健,http://mmitv.top/pltv/huya.php?id=11342423
虎牙-冯小刚,http://mmitv.top/pltv/huya.php?id=11352906
虎牙-百鸟朝凤,http://mmitv.top/pltv/huya.php?id=15894162
虎牙-陈翔六点半,http://mmitv.top/pltv/huya.php?id=11274154
虎牙-电锯惊魂系列,http://mmitv.top/pltv/huya.php?id=11352903
虎牙-电影,http://mmitv.top/pltv/huya.php?id=618917
虎牙-港台电影,http://mmitv.top/pltv/huya.php?id=880261
虎牙-高分电影,http://mmitv.top/pltv/huya.php?id=16615910
虎牙-搞笑僵尸片,http://mmitv.top/pltv/huya.php?id=11352963
虎牙-国产青春,http://mmitv.top/pltv/huya.php?id=11602075
虎牙-好莱坞,http://mmitv.top/pltv/huya.php?id=21059587
虎牙-黑帮斗争,http://mmitv.top/pltv/huya.php?id=11342419
虎牙-红海行动,http://mmitv.top/pltv/huya.php?id=11601986
虎牙-金庸的武侠世界,http://mmitv.top/pltv/huya.php?id=11342435
虎牙-金庸电影,http://mmitv.top/pltv/huya.php?id=11352897
虎牙-经典高智商,http://mmitv.top/pltv/huya.php?id=11352962
虎牙-经典好片,http://mmitv.top/pltv/huya.php?id=11342427
虎牙-经典喜剧片,http://mmitv.top/pltv/huya.php?id=11352894
虎牙-精彩不断,http://mmitv.top/pltv/huya.php?id=24396428
虎牙-精忠岳飞南征北战,http://mmitv.top/pltv/huya.php?id=11336578
虎牙-警匪,http://mmitv.top/pltv/huya.php?id=11352886
虎牙-看救援电影,http://mmitv.top/pltv/huya.php?id=21059586
虎牙-科幻电影,http://mmitv.top/pltv/huya.php?id=11602034
虎牙-路飞,http://mmitv.top/pltv/huya.php?id=16913382
虎牙-麻雀,http://mmitv.top/pltv/huya.php?id=11352881
虎牙-命案十三宗,http://mmitv.top/pltv/huya.php?id=11601981
虎牙-魔法世界,http://mmitv.top/pltv/huya.php?id=21059580
虎牙-欧美电影,http://mmitv.top/pltv/huya.php?id=11352880
虎牙-欧美电影,http://mmitv.top/pltv/huya.php?id=21059581
虎牙-欧美娱乐,http://mmitv.top/pltv/huya.php?id=21059574
虎牙-倩女幽魂,http://mmitv.top/pltv/huya.php?id=11601970
女神影院,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
港台电影,http://mmitv.top/pltv/huya.php?id=880261
黑帮斗争,http://mmitv.top/pltv/huya.php?id=11342419
未知,http://mmitv.top/pltv/huya.php?id=11601986
金庸电影,http://mmitv.top/pltv/huya.php?id=11352897
经典电影,http://mmitv.top/pltv/huya.php?id=11352962
经典好片,http://mmitv.top/pltv/huya.php?id=11342427
经典喜剧片,http://mmitv.top/pltv/huya.php?id=11352894
警匪,http://mmitv.top/pltv/huya.php?id=11352886
救援电影,http://mmitv.top/pltv/huya.php?id=21059586
科幻电影,http://mmitv.top/pltv/huya.php?id=11602034
电影22,http://mmitv.top/pltv/huya.php?id=11601981
欧美电影,http://mmitv.top/pltv/huya.php?id=11352880
欧美电影,http://mmitv.top/pltv/huya.php?id=21059581
电影23,http://mmitv.top/pltv/huya.php?id=11601970
史诗级战争电影,http://mmitv.top/pltv/huya.php?id=21059556
电影24,http://mmitv.top/pltv/huya.php?id=21059579
电影55,http://mmitv.top/pltv/huya.php?id=23652317
喜剧专场,http://mmitv.top/pltv/huya.php?id=11602044
电影26,http://mmitv.top/pltv/huya.php?id=21059577
电影77,http://mmitv.top/pltv/huya.php?id=11601971
电影78,http://mmitv.top/pltv/huya.php?id=11342414
虎牙-神话,http://mmitv.top/pltv/huya.php?id=11352913
虎牙-生活大爆炸,http://mmitv.top/pltv/huya.php?id=11342417
虎牙-史诗级战争电影,http://mmitv.top/pltv/huya.php?id=21059556
虎牙-孙悟空,http://mmitv.top/pltv/huya.php?id=11342395
虎牙-太空混战,http://mmitv.top/pltv/huya.php?id=21059579
虎牙-天雷滚滚,http://mmitv.top/pltv/huya.php?id=11352945
虎牙-天龙八部,http://mmitv.top/pltv/huya.php?id=11602041
虎牙-歪果仁动作,http://mmitv.top/pltv/huya.php?id=21059552
虎牙-文成公主,http://mmitv.top/pltv/huya.php?id=11352974
